race_id,枠番,馬番,単勝ｵｯｽﾞ,人気,馬齢,斤量,距離,頭数,馬名,odds,prob,exp_roi
202530052209,8,10,5.8,2.0,3,57,1200,11,デュジャック,5.8,0.15078665758606996,0.8745626139992058
202530052209,8,11,40.2,10.0,6,54,1200,11,ヤマトノヒカリ,40.2,0.01607787430523063,0.6463305470702714
202530052210,1,1,34.0,6.0,8,55,1000,12,トーケンマコット,34.0,0.015935347111681878,0.5418018017971838
202530052210,2,2,1.7,1.0,3,57,1000,12,アサガオ,1.7,0.4535554351987266,0.7710442398378352
202530052210,4,4,10.5,4.0,3,55,1000,12,キタノロワーズ,10.5,0.07512142056183423,0.7887749158992594
202530052210,5,5,3.0,2.0,3,57,1000,12,ケイアイワカポノ,3.0,0.2695460147738409,0.8086380443215226
202530052210,6,7,8.5,3.0,4,55,1000,12,キタサンヤマブキ,8.5,0.09572545637791567,0.8136663792122832
202530052210,7,9,20.8,5.0,4,55,1000,12,オルトジュピター,20.8,0.03132271765290957,0.651512527180519
202530052211,1,1,34.7,6.0,5,57,1200,9,マチカゼ,34.7,0.017386599390880504,0.6033149988635536
202530052211,3,3,3.1,2.0,6,55,1200,9,オカンモシャチョウ,3.1,0.23815946955266049,0.7382943556132475
202530052211,4,4,9.3,4.0,6,57,1200,9,オンラインボス,9.3,0.07446109874893445,0.6924882183650904
202530052211,5,5,49.2,7.0,7,56,1200,9,リコーリュウセイ,49.2,0.01122439020131334,0.5522399979046163
202530052211,6,6,9.8,5.0,4,53,1200,9,モノノフブラック,9.8,0.0834893060539092,0.8181951993283102
202530052211,7,7,5.5,3.0,6,56,1200,9,グッドボーイ,5.5,0.1398052566882938,0.768928911785616
202530052211,8,9,2.1,1.0,4,54,1200,9,スティールマジック,2.1,0.3824391456310688,0.8031222058252445
202530052212,1,1,1.7,1.0,4,55,1600,7,ポルラノーチェ,1.7,0.44478836235651503,0.7561402160060755
202530052212,3,3,21.4,4.0,4,55,1600,7,ライトヴェール,21.4,0.025764001365116068,0.5513496292134838
202530052212,4,4,3.1,2.0,4,55,1600,7,シンメルーブス,3.1,0.25622647109607444,0.7943020603978308
202530052212,5,5,24.2,5.0,4,54,1600,7,ヨシノヒローイン,24.2,0.024630815733619138,0.5960657407535831
202530052212,6,6,42.6,6.0,5,55,1600,7,ノッテルーナ,42.6,0.016378074035467434,0.6977059539109127
202530052212,7,7,4.8,3.0,4,55,1600,7,ヴィヴィアンエイト,4.8,0.16805989334493954,0.8066874880557098
202544052201,1,1,25.3,11.0,5,56,1600,13,ノビシロ,25.3,0.03767736502842668,0.9532373352191951
202544052201,2,2,5.8,3.0,8,54,1600,13,ミラキュラスシティ,5.8,0.12538945420649367,0.7272588343976633
202544052201,3,3,13.1,7.0,7,56,1600,13,ペイシャセイント,13.1,0.057086564121534976,0.7478339899921082
202544052201,4,4,18.3,9.0,6,54,1600,13,エムオースイート,18.3,0.04683068126094555,0.8570014670753036
202544052201,5,6,11.0,6.0,6,55,1600,13,ザトウイチ,11.0,0.0725695028085217,0.7982645308937387
202544052201,5,7,4.8,2.0,6,56,1600,13,スコッチキルト,4.8,0.15043883791964172,0.7221064220142802
202544052201,6,8,4.3,1.0,4,56,1600,13,エヴィエニス,4.3,0.17559129939792595,0.7550425874110815
202544052201,6,9,8.4,4.0,4,54,1600,13,ファインデイ,8.4,0.08938936514741692,0.7508706672383022
202544052201,7,10,20.8,10.0,6,56,1600,13,マイアイガー,20.8,0.039889323204912015,0.8296979226621699
202544052201,7,11,40.7,12.0,4,56,1600,13,シュヴァイゲン,40.7,0.021520408360508916,0.875880620272713
202544052201,8,12,8.7,5.0,4,56,1600,13,コスモロイロ,8.7,0.10320502506865756,0.8978837180973207
202544052201,8,13,17.8,8.0,6,54,1600,13,イケノギャルチャン,17.8,0.045875089104963636,0.8165765860683527
202544052202,1,1,23.5,7.0,6,54,1200,13,ルックスソーリス,23.5,0.02964005923437123,0.6965413920077239
202544052202,2,2,24.6,8.0,4,54,1200,13,マルヨリヴィエラ,24.6,0.030844969287658106,0.7587862444763894
202544052202,3,3,57.6,10.0,7,56,1200,13,ガビーズスピリット,57.6,0.0119709653656469,0.6895276050612614
202544052202,4,4,5.2,4.0,5,51,1200,13,アネラカイカマヒネ,5.2,0.15629200396693313,0.8127184206280523
202544052202,4,5,28.6,9.0,6,54,1200,13,アタミセイコー,28.6,0.02554801069363141,0.7306731058378583
202544052202,5,6,22.5,6.0,4,56,1200,13,アフリカンビート,22.5,0.03571613738544215,0.8036130911724484
202544052202,6,8,3.6,2.0,7,56,1200,13,ゴールドブレイン,3.6,0.21308901710013678,0.7671204615604924
202544052202,7,10,19.0,5.0,8,56,1200,13,キワミイモン,19.0,0.036607347511138234,0.6955396027116264
202544052202,7,11,5.1,3.0,5,56,1200,13,バクシーシ,5.1,0.1650477495779621,0.8417435228476066
202544052202,8,12,3.1,1.0,7,53,1200,13,ゴールデンオージャ,3.1,0.2546291549618133,0.7893503803816213
202544052203,1,1,2.1,1.0,3,56,1600,11,トワイライト,2.1,0.37124078593786625,0.7796056504695191
202544052203,2,2,58.3,10.0,3,56,1600,11,カセノマウンティン,58.3,0.015132615824961464,0.8822315025952533
202544052203,3,3,50.6,8.0,3,56,1600,11,フロントドア,50.6,0.0156344541149933,0.791103378218661
202544052203,4,4,13.6,5.0,3,56,1600,11,アエノキングダム,13.6,0.06642202699777201,0.9033395671696993
202544052203,5,5,6.9,4.0,3,54,1600,11,ブレスト,6.9,0.10966469459484494,0.7566863927044302
202544052203,6,6,37.6,7.0,3,54,1600,11,リュウノウィザード,37.6,0.019251535517909184,0.7238577354733854
202544052203,6,7,52.4,9.0,3,56,1600,11,ウエノマルサンダー,52.4,0.015130108591009925,0.79281769016892
202544052203,7,8,6.1,3.0,3,56,1600,11,インティコン,6.1,0.1354217695669362,0.8260727943583107
202544052203,7,9,4.5,2.0,3,56,1600,11,コウフウセイゲツ,4.5,0.17291861509764103,0.7781337679393846
202544052203,8,11,15.0,6.0,3,54,1600,11,ハクアイソレイユ,15.0,0.056676468043981236,0.8501470206597186
202544052204,3,3,38.6,8.0,3,56,1400,14,ケンオーシャン,38.6,0.02276926939880745,0.8788937987939677
202544052204,3,4,29.8,7.0,3,54,1400,14,アレゴウドウレモン,29.8,0.02584347005139859,0.770135407531678
202544052204,4,5,4.3,2.0,3,56,1400,14,ミクニサンビーム,4.3,0.17809635568281076,0.7658143294360863
202544052204,4,6,19.4,6.0,3,56,1400,14,テルケンレントラー,19.4,0.047515681002238706,0.9218042114434308
202544052204,5,8,2.0,1.0,3,56,1400,14,ツルマルヴィオレ,2.0,0.39724225663521434,0.7944845132704287
202544052204,6,9,9.6,4.0,3,56,1400,14,マサノフリーダム,9.6,0.09147371515728757,0.8781476655099606
202544052204,6,10,66.6,9.0,3,56,1400,14,オーイクモヨ,66.6,0.010936195258774347,0.7283506042343715
202544052204,7,12,14.6,5.0,3,56,1400,14,ベゼールト,14.6,0.059735488205118,0.8721381277947228
202544052204,8,14,5.0,3.0,3,56,1400,14,ミスタージョン,5.0,0.16842064157071987,0.8421032078535994
202544052205,2,2,8.1,6.0,3,54,1200,13,ミスフォルテ,8.1,0.09341607409647038,0.75667020018141
202544052205,3,3,5.6,3.0,3,54,1200,13,グラスコメット,5.6,0.13494238792509095,0.7556773723805092
202544052205,4,4,19.9,8.0,3,56,1200,13,チュウオーハグラー,19.9,0.042888498432672756,0.8534811188101877
202544052205,4,5,58.2,11.0,3,54,1200,13,ジャストハンマー,58.2,0.013216244742223231,0.7691854439973921
202544052205,5,6,31.2,10.0,3,56,1200,13,アフターレヴュー,31.2,0.027720632425268833,0.8648837316683875
202544052205,5,7,18.5,7.0,3,56,1200,13,ボッシュ,18.5,0.045084785740526524,0.8340685361997408
202544052205,6,8,6.3,4.0,3,56,1200,13,ワンホットミニット,6.3,0.1286362748127715,0.8104085313204605
202544052205,6,9,4.5,1.0,3,56,1200,13,イーオレイ,4.5,0.1795463200237582,0.8079584401069119
202544052205,7,10,65.6,12.0,3,53,1200,13,コノヨルヲトメテヨ,65.6,0.01105186303056068,0.7250022148047806
202544052205,7,11,7.2,5.0,3,51,1200,13,アダラズプレイヤー,7.2,0.1118803727064323,0.8055386834863125
