1ｺｰﾅｰ,2ｺｰﾅｰ,3ｺｰﾅｰ,4ｺｰﾅｰ,グレード,タイム,データソース,トラック,上がり3F,人気,付加賞金,単勝ｵｯｽﾞ,場名,天候,年,性別,所属,斤量,日,月,本賞金,母,母父,毛色,水分,父,父父,生年,生産者,着順_num,競走名,競走条件,競走種別,競走記号,脚質,誕生月,調教師,距離,重量種別,頭数,馬主,馬体重,馬場状態,馬齢,騎手,Ｒ
,,,,,,,,,3.0,,6.3,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,1.0,,2.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,13.0,,321.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,11.0,,70.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,13,,,,5,,
,,,,,,,,,2.0,,2.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,6.0,,34.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,13,,,,4,,
,,,,,,,,,3.0,,13.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,1.0,,2.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,3,,
,,,,,,,,,6.0,,34.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,7.0,,74.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,7,,
,,,,,,,,,4.0,,15.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,11.0,,244.4,,,,,,56,,,,,,,,,,,,,,,,,,,,1700,,12,,,,12,,
,,,,,,,,,2.0,,2.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,3,,
,,,,,,,,,10.0,,229.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,12.0,,263.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1700,,12,,,,3,,
,,,,,,,,,8.0,,79.4,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,8,,
,,,,,,,,,5.0,,16.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,9.0,,117.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1700,,12,,,,4,,
,,,,,,,,,7.0,,18.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,11,,,,6,,
,,,,,,,,,3.0,,9.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,11,,,,3,,
,,,,,,,,,6.0,,18.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,11,,,,3,,
,,,,,,,,,4.0,,12.2,,,,,,52,,,,,,,,,,,,,,,,,,,,1200,,11,,,,5,,
,,,,,,,,,5.0,,15.1,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,11,,,,5,,
,,,,,,,,,1.0,,1.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,11,,,,3,,
,,,,,,,,,9.0,,34.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,11,,,,4,,
,,,,,,,,,11.0,,142.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,11,,,,9,,
,,,,,,,,,8.0,,23.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,11,,,,7,,
,,,,,,,,,2.0,,5.8,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,11,,,,3,,
,,,,,,,,,10.0,,40.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,11,,,,6,,
,,,,,,,,,6.0,,34.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,8,,
,,,,,,,,,1.0,,1.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,7.0,,86.2,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,9,,
,,,,,,,,,4.0,,10.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,2.0,,3.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,9.0,,127.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1000,,12,,,,5,,
,,,,,,,,,3.0,,8.5,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,4,,
,,,,,,,,,12.0,,282.6,,,,,,57,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,5.0,,20.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,4,,
,,,,,,,,,8.0,,109.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,3,,
,,,,,,,,,11.0,,268.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,5,,
,,,,,,,,,10.0,,184.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1000,,12,,,,6,,
,,,,,,,,,6.0,,34.7,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,9,,,,5,,
,,,,,,,,,9.0,,329.0,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,9,,,,6,,
,,,,,,,,,2.0,,3.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1200,,9,,,,6,,
,,,,,,,,,4.0,,9.3,,,,,,57,,,,,,,,,,,,,,,,,,,,1200,,9,,,,6,,
,,,,,,,,,7.0,,49.2,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,9,,,,7,,
,,,,,,,,,5.0,,9.8,,,,,,53,,,,,,,,,,,,,,,,,,,,1200,,9,,,,4,,
,,,,,,,,,3.0,,5.5,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,9,,,,6,,
,,,,,,,,,8.0,,172.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1200,,9,,,,9,,
,,,,,,,,,1.0,,2.1,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,9,,,,4,,
,,,,,,,,,1.0,,1.7,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,7,,,,4,,
,,,,,,,,,7.0,,818.4,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,7,,,,7,,
,,,,,,,,,4.0,,21.4,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,7,,,,4,,
,,,,,,,,,2.0,,3.1,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,7,,,,4,,
,,,,,,,,,5.0,,24.2,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,7,,,,4,,
,,,,,,,,,6.0,,42.6,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,7,,,,5,,
,,,,,,,,,3.0,,4.8,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,7,,,,4,,
,,,,,,,,,11.0,,25.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,5,,
,,,,,,,,,3.0,,5.8,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,13,,,,8,,
,,,,,,,,,7.0,,13.1,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,7,,
,,,,,,,,,9.0,,18.3,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,13,,,,6,,
,,,,,,,,,13.0,,95.6,,,,,,51,,,,,,,,,,,,,,,,,,,,1600,,13,,,,5,,
,,,,,,,,,6.0,,11.0,,,,,,55,,,,,,,,,,,,,,,,,,,,1600,,13,,,,6,,
,,,,,,,,,2.0,,4.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,6,,
,,,,,,,,,1.0,,4.3,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,4,,
,,,,,,,,,4.0,,8.4,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,13,,,,4,,
,,,,,,,,,10.0,,20.8,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,6,,
,,,,,,,,,12.0,,40.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,4,,
,,,,,,,,,5.0,,8.7,,,,,,56,,,,,,,,,,,,,,,,,,,,1600,,13,,,,4,,
,,,,,,,,,8.0,,17.8,,,,,,54,,,,,,,,,,,,,,,,,,,,1600,,13,,,,6,,
,,,,,,,,,7.0,,23.5,,,,,,54,,,,,,,,,,,,,,,,,,,,1200,,13,,,,6,,
